"# 文本key","文本value"
"RP_SOURCE_DESC_4","<AttiSource>Refuse Intimacy Relations with the opposite sex twice</>"
"RP_SOURCE_DESC_5","<AttiSource>Initiate 3 attacks against NPCs who have committed wrongdoing</>"
"RP_SOURCE_DESC_6","<AttiSource>Have 3 Close Friends</>"
"RP_SOURCE_DESC_7","<AttiSource>Help NPCs 5 times</>"
"RP_SOURCE_DESC_8","<AttiSource>Refuse 4 requests for monetary assistance</>"
"RP_SOURCE_DESC_9","<AttiSource>Deal fatal blows in 3 battles won</>"
"RP_SOURCE_DESC_10","<AttiSource>Perform 3 bad deeds against people you have Positive Relations with</>"
"RP_SOURCE_DESC_11","<AttiSource>Beg for mercy 3 times</>"
"RP_SOURCE_DESC_12","<AttiSource>Become intimate with 3 people of the opposite sex</>"
"RP_SOURCE_DESC_13","<AttiSource>Initiate 2 battles and get defeated</>"
"RP_SOURCE_DESC_14","<AttiSource>Killed Bloodline， Intimacy， or Close Friend</>"
"# 宠物名字",""
"pet_name_1000","Monkey {0}"
"pet_name_1002","Snake {0}"
"pet_name_1003","Horse {0}"
"pet_name_1004","Marten {0}"
"pet_name_1005","Eagle {0}"
"pet_name_1006","Serpent {0}"
"pet_name_1007","Lizard {0}"
"pet_name_1008","Frog {0}"
"pet_name_1009","Dog {0}"
"pet_name_1010","Wolf {0}"
"pet_name_1011","Rooster {0}"
"pet_name_1012","Pig {0}"
"pet_change_name_title","Change Pet Name"
"pet_change_name_desc","Enter Name"
"pet_name","Pet"
"# 势力",""
"influence_none","「None」"
"influence_bandits","「Bandits」"
"influence_royal","「Dynasty」"
"influence_assassin","「Eight-faced Black Sparrow」"
"influence_sect","「{0}」"
"# 输入",""
"input_desc_1","Right Mouse Button"
"input_desc_2","Left Mouse Button"
"input_desc_3","Jump"
"input_desc_4","Pause"
"input_desc_5","ESC"
"input_desc_6","Open Character Menu"
"input_desc_7","Open Item Backpack"
"input_desc_8","Open Gear Backpack"
"input_desc_9","Open Skill Backpack"
"input_desc_10","Open Meridian"
"input_desc_11","Open Abilities"
"input_desc_12","Open Quests"
"input_desc_13","Open Map"
"input_desc_14","Open Crafting"
"input_desc_15","Confirm"
"input_desc_16","Up"
"input_desc_17","Down"
"input_desc_18","Left"
"input_desc_19","Right"
"input_desc_20","Speed scaling"
"input_desc_21","Horizontal Rotation"
"input_desc_22","Vertical Rotation"
"input_desc_23","Move Forward"
"input_desc_24","Move Backward"
"input_desc_25","Move Right"
"input_desc_26","Move Left"
"input_desc_27","Check Time"
"input_desc_28","Open Cheat Screen"
"input_desc_29","Meditate"
"input_desc_30","Toggle UI"
"input_desc_31","Sneak"
"input_desc_32","Qinggong Accelerate"
"input_desc_33","Swim Down"
"input_desc_34","Open Building Mode"
"input_desc_35","Quick Save"
"input_desc_36","Pan Left"
"input_desc_37","Pan Right"
"input_desc_38","Save/Load"
"input_desc_39","Item Shortcut 1"
"input_desc_40","Item Shortcut 2"
"input_desc_41","Item Shortcut 3"
"input_desc_42","Item Shortcut 4"
"input_desc_43","Item Shortcut 5"
"input_desc_44","Order"
"input_desc_45","Greet"
"input_desc_46","Open Heavenly Scrolls"
"input_desc_47","Choose the goal"
"input_desc_48","Swimming up"
"input_desc_49","Swimming down"
"input_desc_50","Open the experience page"
"input_desc_51","Open Quests"
"# 标记相关",""
"tag_clear","Clear Mark"
"tag_clear_tips_desc","Clear all marks？"
"# 选择世界",""
"select_world_my_world","My Miniworld"
"select_world_desc","「You can create multiple Miniworlds」\\n「Resetting the Miniworld will clear all its data， keeping only Karma， Lineage， Cultivator， Trial Progress and Fortune Jades！ 」\\n「Each Miniworld has its own areas and features」\\n「Cultivators can enter different Miniworlds anytime」"
"select_world_new_world","Create New World"
"select_world_item_desc","Land Plot ：{0}\\nInfluence ：{1}\\nPopulation ：{2}\\nRuntime ：{3} Days"
"MiniWorldName_1","Great Wilds"
"enter_world","Enter 「<JmTipOrange>{0}</>」"
"# 测试用之后删除",""
"test1","This is a beta version. The world size has been restricted. \\nThank you for playing. You can continue playing to experiment with different interactions."
"test2","There's a lot going on in the game. For your first playthrough， be sure to take your time with the tutorial. It'll help you get used to the gameplay. Happy exploring！"
"# 田地提示",""
"harvest_tips","{0} Ready for harvest"
"growing_tips","{0} Growing\\n{1} hours until ripe"
"# 战斗操作教程文本",""
"drag_on_cast","Drag here and release"
"drag_skill","Activate Skill by delivering its required Moves in one turn. Using Skills consumes Energy. Long press to drag Skill."
"long_pressed_drag_moves","Long press to drag Move"
"#挂招教程",""
"nimi_game_100_1","Connect another Move type with Omni Move"
"nimi_game_100_2","Connect more Kicks"
"#连招教程",""
"nimi_game_101_1","Connect Kick"
"nimi_game_101_2","Connect more Kicks"
"nimi_game_101_3","Connect 4th Kick"
"nimi_game_101_4","Connected 4 of the same Move. Combo Move triggered. Draw 1 Move."
"nimi_game_101_5","You can connect to an Omni Move"
"nimi_game_101_6","Now you can connect an extra Fist Move"
"#变招教程",""
"nimi_game_102_1","Connect Palm"
"nimi_game_102_2","Change next Move type with Changeable Move"
"nimi_game_102_3","Now you can change Palm to Kick"
"nimi_game_102_4","You can connect another Move"
"#奇招教程",""
"nimi_game_103_1","You can connect all of the same Move"
"nimi_game_103_2","Connect the last Fist. There are no more Moves you can connect."
"nimi_game_103_3","But you can connect a Changeable Move. Now you can connect an extra Move and change its type."
"nimi_game_103_4","Palm changed to Kick. Now you have 2 different Moves."
"nimi_game_103_5","Connect an Omni Move and go on to another Move type"
"nimi_game_103_6","You've used three different Moves in one turn. Surprise Move triggered."
"nimi_game_103_7","Connected 3 different Moves. Surprise Move triggered. Draw 1 Move."
"nimi_game_103_8","Connect 1 more Fist to make 4 Fists， triggering Combo Move. Draw 1 Move."
"#守招教程",""
"nimi_game_104_1","There are only 5 Fists on the field. Use DEF Move to copy Moves to next turn."
"nimi_game_104_2","Copy this Fist"
"nimi_game_104_3","Connect all the same Moves that can be connected"
"nimi_game_104_4","You only connected 6 Moves this turn. But DEF Move gives you 1 more starting Move next turn."
"nimi_game_104_5","Deliver Moves. You have 1 extra Move next turn."
"# 经脉操作",""
"jingmai_operate_desc_0","Draw Chi from Inner Elixir Field"
"jingmai_operate_desc_1","Connect acupoints"
"jingmai_operate_desc_2","Follow the order required by the Inner Kungfu"
"jingmai_operate_desc_3","The Chi route must cover acupoints in the order required by the Inner Kungfu"
"jingmai_operate_desc_4","Connect back to the Inner Elixir Field to form a Chi circuit and activate Inner Kungfu"
"jingmai_operate_desc_5","Cancel activation"
"jingmai_operate_desc_6","activation"
"jingmai_operate_desc_7","Cancel View"
"解锁地块操作",""
"unlock_tile_operate_desc","Click icon to unlock Lot"
"unlock_tile_operate_desc_gamepad","According to <img id=""Gamepad_FaceButton_Bottom""/> Unlocking land"
"领悟要诀",""
"lottery_entry_operate_desc","Tap to acquire Mnemonic"
"lottery_entry_operate_desc_gamepad","Press <img id=""Gamepad_FaceButton_Bottom""/> to acquire Mnemonic"
"# 解锁大千图谱操作",""
"unlock_collection_operate_desc","Click Daiqan Atlas to view"
"# 本地化提示相关",""
"language_tips1","Changing the language will return you to the login screen. Proceed？"
"# 战斗结束原因",""
"End_Combat_Reason_1","Knocked Out"
"End_Combat_Reason_2","Concede"
"End_Combat_Reason_3","Vigor Depleted"
"End_Combat_Reason_4","Returned to Karma"
"End_Combat_Reason_5","Pass Out Drunk"
"End_Combat_Reason_6","Frozen"
"End_Combat_Reason_7","Coerced by Ordeal Sigil"
"# 操作提示",""
"operate_tips_1","<Huang22>{0}</> Dive  <Huang22>{1}</> Go up  <Huang22>{2}</> Sprint"
"operate_tips_2","<Huang22>WASD</> Move Camera <Huang22>Scroll Wheel</> Zoom Camera <Huang22>Left Click</> Select/Place  <Huang22>R</> Rotate <Huang22>Right Click</> Delete/Deselect"
"operate_tips_3","<Huang22>Left Click</> Drop Marker  <Huang22>Right Click and Drag</> Move Map"
"operate_tips_4","<Huang22>Shift + Click Item</> Move All"
"operate_tips_5","<Huang22>Left Click</> Place Lot  <Huang22>Right Click and Drag</> Move Map <Huang22>R</> Rotate Lot"
"operate_tips_6","<Huang22>WASD</> Move Camera <Huang22>Mouse Wheel</> Zoom Camera"
"operate_tips_7","{0} Dive {1} up floating {2} sprint"
"operate_tips_8","<Huang22>Button R</> Rotate"
"operate_tips_9","<Huang22>Left Click</> Place the selected sword  <Huang22>Right Click</> Deselect the sword <Huang22>R Key</> Rotate the selected sword"
"operate_tips_10","<Huang22>R Key</> Reset selected ability"
"operate_gamepad_tips_2","<img id=""Gamepad_DPad_Left""/> Choice <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_LeftStick""/> Moving lens <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_RightStick""/> Moving lens <img id=""Gamepad_LeftStick""/> Moving object <img id=""Gamepad_RightTrigger""/> Rotate <img id=""Gamepad_FaceButton_Bottom""/> Select/place <img id=""Gamepad_FaceButton_Left""/> Delete/cancel selection"
"operate_gamepad_tips_6_1","<img id=""Gamepad_DPad_Down""/> Chosen <img id=""Gamepad_RightTrigger""/> Enter the command mode"
"operate_gamepad_tips_6_2","<img id=""Gamepad_FaceButton_Right""/> Close menu <img id=""Gamepad_RightTrigger""/> Exit command mode"
"gamepad_operate_ChildInherit_PropItem","<img id=""Gamepad_LeftShoulder""/><img id=""Gamepad_RightShoulder""/> Addition or subtract attribute"
"gamepad_operate_ShortcutKeyList","<img id=""Gamepad_DPad_Left""/> Choose <img id=""Gamepad_FaceButton_Bottom""/> Confirm <img id=""Gamepad_FaceButton_Top""/> Switch <img id=""Gamepad_FaceButton_Right""/> Return"
"gamepad_operate_PlaceTileMap","<img id=""Gamepad_RightStick""/> Moving lens <img id=""Gamepad_LeftThumbstick""/> Rotating plot <img id=""Gamepad_FaceButton_Left""/> Placed land <img id=""Gamepad_FaceButton_Right""/> return"
"gamepad_operate_PlaceTileMap_1","<img id=""Gamepad_RightStick""/> Moving lens <img id=""Gamepad_LeftThumbstick""/> Rotating plot <img id=""Gamepad_FaceButton_Left""/> Reopen <img id=""Gamepad_FaceButton_Right""/> Return"
"gamepad_operate_PlaceJianQi","<img id=""Gamepad_FaceButton_Bottom""/> Place selected sword <img id=""Gamepad_LeftThumbstick""/> Rotate selected sword <img id=""Gamepad_RightThumbstick""/> Deselect sword <img id=""Gamepad_FaceButton_Left""/> Hide/Visible <img id=""Gamepad_FaceButton_Top""/> Expand/Collapse"
"gamepad_operate_ReplaceTileMapPanel","<img id=""Gamepad_RightStick""/> Move Camera <img id=""Gamepad_FaceButton_Left""/> Rotate Lot <img id=""Gamepad_FaceButton_Bottom""/> Pick Up/Put Down"
"gamepad_operate_DealPanel","<img id=""Gamepad_DPad_Left""/> Choose <img id=""Gamepad_FaceButton_Bottom""/> Sure"
"gamepad_operate_AuctionPanel","<img id=""Gamepad_LeftShoulder""/><img id=""Gamepad_RightShoulder""/> Switching auction speed"
"gamepad_operate_MainRT","<img id=""Gamepad_DPad_Left""/> Switch target"
"gamepad_operate_ChangeName","<img id=""Gamepad_DPad_Left""/> Show Keyboard "
"gamepad_operate_AbilityExtand","<img id=""Gamepad_FaceButton_Left""/> Reset selected ability"
"gamepad_operate_CreateSectPanel","<img id=""Gamepad_DPad_Right""/> Select Special Ability <img id=""Gamepad_FaceButton_Left""/> Activate/Inactivate Special Ability"
"gamepad_operate_CreateCharacter","<img id=""Gamepad_DPad_Right""/> Switch input item <img id=""Gamepad_FaceButton_Bottom""/> Exhale"
"gamepad_operate_AuctionPanel_1","<img id=""Gamepad_FaceButton_Bottom""/> View auction products "
"gamepad_operate_AuctionPanel_2","<img id=""Gamepad_FaceButton_Bottom""/> View the auctioner "
"gamepad_operate_SectOccupyTile_1","<img id=""Gamepad_RightStick""/> Mobile map <img id=""Gamepad_FaceButton_Left""/> Choose the land"
"gamepad_operate_SectOccupyTile_2","<img id=""Gamepad_RightStick""/> Mobile map <img id=""Gamepad_FaceButton_Left""/> Choose the land <img id=""Gamepad_FaceButton_Bottom""/> Chosen"
"gamepad_operate_build_0","<img id=""Gamepad_DPad_Left""/> Choose a blueprint <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_LeftStick""/> Moving lens <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_RightStick""/> Scaling lens <img id=""Gamepad_LeftStick""/> Mouse <img id=""Gamepad_FaceButton_Bottom""/> Sure"
"gamepad_operate_build_0_1","<img id=""Gamepad_DPad_Left""/> Select the blueprint slot <img id=""Gamepad_FaceButton_Bottom""/> Write"
"gamepad_operate_build_1","<img id=""Gamepad_DPad_Up""/> Choose a facility <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_LeftStick""/> Moving lens <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_RightStick""/> Scaling lens <img id=""Gamepad_LeftStick""/> Mouse <img id=""Gamepad_FaceButton_Bottom""/> Place/select facility"
"gamepad_operate_build_2","<img id=""Gamepad_DPad_Up""/> Choose a floor <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_LeftStick""/> Moving lens <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_RightStick""/> Scaling lens <img id=""Gamepad_LeftStick""/> Mouse <img id=""Gamepad_FaceButton_Bottom""/> Place/cancel"
"gamepad_operate_build_3","<img id=""Gamepad_DPad_Up""/> Choose a facility <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_LeftStick""/> Moving lens <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_RightStick""/> Scaling lens <img id=""Gamepad_LeftStick""/> Mouse <img id=""Gamepad_FaceButton_Bottom""/> Place/select facility"
"gamepad_operate_build_4","<img id=""Gamepad_DPad_Up""/> Choice door <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_LeftStick""/> Moving lens <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_RightStick""/> Scaling lens <img id=""Gamepad_LeftStick""/> Mouse <img id=""Gamepad_FaceButton_Bottom""/> Place/cancel"
"gamepad_operate_build_5","<img id=""Gamepad_DPad_Up""/> Select the window <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_LeftStick""/> Moving lens <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_RightStick""/> Scaling lens <img id=""Gamepad_LeftStick""/> Mouse <img id=""Gamepad_FaceButton_Bottom""/> Place/cancel"
"gamepad_operate_build_6","<img id=""Gamepad_DPad_Up""/> Place/cancel <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_LeftStick""/> Moving lens <img id=""Gamepad_LeftTrigger""/>+<img id=""Gamepad_RightStick""/> Scaling lens "
"gamepad_operate_cancel_decoration","<img id=""Gamepad_FaceButton_Left""/> Discharge"
"gamepad_operate_rotator_decoration","<img id=""Gamepad_RightTrigger""/> Rotation facility"
"gamepad_operate_rotator_build","<img id=""Gamepad_RightTrigger""/> Rotating building"
"gamepad_operate_employ","<img id=""Gamepad_DPad_Down""/> Choose His Majesty <img id=""Gamepad_DPad_Right""/> Choose His Majesty Status"
"gamepad_operate_applicant","<img id=""Gamepad_DPad_Down""/> Choose an applicant <img id=""Gamepad_DPad_Right""/> Choose allows/refuse"
"gamepad_operate_hei_bang","<img id=""Gamepad_DPad_Down""/> Choose a wanted criminal"
"gamepad_operate_skill_entry_lottery_panel","<img id=""Gamepad_LeftTrigger""/> Display Mnemonic preview <img id=""Gamepad_FaceButton_Bottom""/> Use Insight <img id=""Gamepad_LeftStick""/> Select Insight/View Mnemonic"
"gamepad_operate_event_task_panel","<img id=""Gamepad_LeftTrigger""/>/<img id=""Gamepad_RightTrigger""/> Switch Commission Type <img id=""Gamepad_FaceButton_Top""/> Switched/Current Task <img id=""Gamepad_FaceButton_Bottom""/> Confirm <img id=""Gamepad_FaceButton_Right""/> Return <img id=""Gamepad_LeftShoulder""/>/<img id=""Gamepad_RightShoulder""/> Last Page/Next Page"
"gamepad_operate_change_equip_prop_panel","<img id=""Gamepad_DPad_Left""/> Select Gear/Attributes <img id=""Gamepad_DPad_Up""/> Switch Selected Attribute <img id=""Gamepad_LeftShoulder""/> Extract Stats\\n<img id=""Gamepad_RightShoulder""/> Targeted Refinement <img id=""Gamepad_FaceButton_Top""/> Confirm Stat Salvage <img id=""Gamepad_FaceButton_Left""/> Add Attribute Slot"
"# 声望",""
"renown_desc_-3","Loathed"
"renown_desc_-2","Hostile"
"renown_desc_-1","Scorned"
"renown_desc_0","Obscure"
"renown_desc_1","Noteworthy"
"renown_desc_2","Renowned"
"renown_desc_3","Revered"
"renown_influence_desc","Prestige in {0}"
"Treasure_tips","「Treasure Map」： Refer to the red cross on the Treasure Map. Compare with the World Map to locate the buried treasure."
"# 多世界配置相关",""
"world_to_be_generated","Generated upon entry"
"world_option_desc","World Options：\\n{0}"
"world_init_size","Starting Lots"
"world_environment","Special Terrain"
"world_res_reborn_speed","Resource Regen"
"world_animal_reborn_speed","Animal Regen"
"world_expansion_type","Influence Expansion"
"world_npc_reputation_type","Worldly Reputation"
"world_default","New World"
"world_init_size_0","「Empty」 1"
"world_init_size_1","「Tiny」 20"
"world_init_size_2","「Medium」 40"
"world_init_size_3","「Big」 60"
"world_environment_0","Random"
"world_environment_1","Mild"
"world_environment_2","Frigid"
"world_environment_3","Desert"
"world_environment_4","Poison Gas"
"world_environment_5","Scorching"
"world_res_reborn_speed_0","Normal"
"world_res_reborn_speed_1","Slow"
"world_res_reborn_speed_2","Fast"
"world_animal_reborn_speed_0","Normal"
"world_animal_reborn_speed_1","Slow"
"world_animal_reborn_speed_2","Fast"
"world_expansion_type_0","Normal"
"world_expansion_type_1","Peaceful"
"world_expansion_type_2","Aggressive"
"world_npc_reputation_type_0","Normal"
"world_npc_reputation_type_1","Kind"
"world_npc_reputation_type_2","Evil"
"# 抄录界面",""
"WriteBookPanel_Btn_1","Compile"
"Common_Writting","Compiling..."
"# 麾下管理界面",""
"PitSpacePlace","Animal Pen Space"
"employee_cai_ji_ing","(Gathering... {0} hours in total)"
"# 存档相关",""
"archive_title","Save"
"save_game","Save Game"
"load_game","Load Game"
"auto_save","Autosave"
"manual_save","Manual Save"
"archive_info","Save Info"
"archive_version","Save Version： V{0}"
"tile_bonus_num","Fortune Jades"
"unlock_destiny_num","Unlock Karma"
"ability_exp_point","Lineage Points"
"skill_and_neigong_num","Kungfu Legacy"
"archive_world_tile_num","{0} Lots"
"button_save","Save"
"button_override","Overwrite"
"button_delete","Delete"
"button_load","Load"
"archive_override_tips","Overwrite this save？"
"archive_delete_tips","Delete this save？"
"archive_load_tips","Load this save？"
"archive_player_num","Players"
"archive_world_num","Worlds"
"archive_change_to_json","Convert to clear text Save file"
"archive_change","conversion"
"archive_error_delete","Delete error archive"
"report_game_data","Report game data"
"# 快捷栏相关",""
"shortcut_selected_tips","Select item from the list"
"# 队伍界面",""
"quit_team","Leave the team"
"follow","Follow"
"stop","Pause"
"all_quit","All leave"
"all_stop","All pause"
"all_follow","All follow"
"select_all","Select all"
"yun_gong","Exercise power"
"select_all_cancel","Cancel"
"# 生娃界面",""
"Child_Inherit_Panel_1","Parentage"
"Child_Inherit_Panel_2","「The base attributes and abilities of the offspring are determined by both parents」\\n「Stronger parents give offspring more attribute points to allocate」"
"Child_Inherit_Prop_Point_Num","Remaining attribute points · {0}"
"Surname_Father","Father's Surname"
"Surname_Mother","Mother's Surname"
"Adult_Need_Day","{0} days to adulthood"
"Child_State_Desc_0","Unborn"
"Child_State_Desc_1","Newborn"
"Child_State_Desc_2","Babyhood"
"Child_State_Desc_3","Infanthood"
"Child_State_Desc_4","Childhood"
"Child_State_Desc_5","Adulthood"
"Mod界面",""
"ModPanel_0","Manage Mod"
"ModPanel_1","Download"
"ModPanel_2","Steam Workshop"
"ModPanel_3","Back"
"ModPanel_4","Move Mod up"
"ModPanel_5","Move Mod down"
"ModPanel_6","Activate Mod"
"ModPanel_7","Deactivate Mod"
"ModPanel_8","Game Version： {0}"
"ModPanel_9","Mod Version： {0}"
"ModPanel_10","Outdated"
"ModPanel_11","(This mod is made for a different game version. It may cause issues such as freezing or save corruption. Use with caution！)"
"ModPanel_12","None"
"ModPanel_13","(Version Mismatch)"
"ModPanel_14","Detected activation of outdated mod(s). It may cause issues such as crashing or freezing. Do you want to start the game？"
"ModPanel_15","Start the game"
"# 势力关系界面",""
"influence_relation_1","Master"
"influence_relation_2","Influence"
"influence_relation_3","Members"
"influence_relation_4","Ally"
"influence_relation_5","Rival"
"influence_relation_6","Start diplomacy"
"influence_relation_7","Select Influence"
"influence_relation_8","Resource"
"influence_relation_9","Neutral"
"influence_relation_10","View forces"
"influence_tribute_1","You can only request tribute from lots they own."
"influence_tribute_2","Tributes from current lot"
"influence_tribute_3","Demand tribute"
"influence_tribute_4","Reselect"
"influence_tribute_5","List of tribute resources"
"influence_name_bandits","Bandit"
"influence_delete_tips","「{0}」 is destroyed."
"# 治疗隐疾界面",""
"Common_CommonCure","Common Ailment"
"Common_SpecialCure","Special Ailment"
"Common_UnusualBuff","Debuff"
"Common_Cure","Cure"
"Common_CureAllCommonCure","Cure all Common Ailments"
"Common_CureAllSpecialCure","Cure all Special Ailments"
"Common_CureAllUnusualBuff","Cure all Debuffs"
"Common_ShowAbility","·Current Leechcraft Level： {0}"
"Common_AbilityLevelOff","Healer's Leechcraft level is too low. Unable to cure."
"Common_AbilityLevelOn","Cures available： {0} | "
"# 命令",""
"command_name_1","Follow"
"command_name_2","Pause"
"command_name_3","Leave the team"
"command_name_4","Chop"
"command_name_5","Attack"
"command_name_6","Destroy"
"command_name_7","Gather"
"command_name_8","Mine"
"command_name_9","Have a Bath"
"command_name_10","Sleep"
"command_name_14","Slight of Hand"
"command_name_17","Plunder"
"command_name_18","Take Relic"
"command_name_19","Pray for Rain"
"command_name_20","Pray for Heavy Snow"
"command_name_21","Pray for Sunny Day"
"command_name_22","Poison"
"command_name_23","Rest： Bonfire"
"command_name_24","Practice Kungfu"
"command_name_26","Ignite"
"command_name_27","Parlor： Listen to music"
"command_name_28","Sit at wine table"
"command_name_29","Worship"
"command_name_31","Rest in peace"
"command_name_32","Wake up"
"command_name_33","Offer Money"
"command_name_34","Lockpick"
"command_name_35","Worship the dead"
"# 嘴炮位置",""
"arg_pos_0","Upper right"
"arg_pos_1","Middle right"
"arg_pos_2","Lower right"
"arg_pos_3","Upper middle"
"arg_pos_4","Center"
"arg_pos_5","Lower middle"
"arg_pos_6","Upper left"
"arg_pos_7","Middle left"
"arg_pos_8","Lower left"
"# 嘴炮名称",""
"argument_370000","Nonsense"
"argument_370001","Persuade"
"argument_370002","Recount Tale"
"argument_370003","Long Story Short"
"argument_370004","Pride Turned Humble"
"argument_370005","Beat Around the Bush"
"argument_370006","Weighted Words"
"argument_370007","Inference"
"argument_370008","Case For Yourself"
"argument_370009","Classic Quotes"
"argument_370010","Cross Purposes"
"argument_370011","Stretching Matters"
"argument_370012","Slander"
"argument_370013","White Horse Ain't Horse"
"argument_370014","Sophistry"
"argument_370015","Broken Context"
"argument_370016","Pester"
"argument_370017","Honeyed Tongue"
"argument_370018","Clashing Words"
"argument_370019","Jabberwocky"
"argument_370020","Witty Barrage"
"argument_370021","Spot On"
"argument_370022","Words of Wisdom"
"argument_370023","Flowery Flattery"
"argument_370024","Flowing Oratory"
"argument_370025","Cut to the Chase"
"argument_370026","Barbed Words"
"argument_370027","Muddy Waters"
"argument_370028","Cower"
"argument_370029","Analogy"
"argument_370030","Benign Assertion"
"argument_370031","Brash Ignorance"
"argument_370032","Old Ways"
"argument_370033","Bared Fangs"
"argument_370034","Perseverance"
"argument_370035","Apprehension"
"argument_370036","In Your Element"
"argument_370037","Desperate Measures"
"argument_370038","Cut to the Chase"
"argument_370039","Grand Wish"
"argument_370040","Dream Illusion"
"argument_380000","Final Word"
"argument_380001","Agree to Disagree"
"argument_380002","Oblique Accusations"
"argument_380003","Insinuation"
"argument_380004","Final Verdict"
"argument_380005","Lofty Discourse"
"argument_380006","Beguile"
"argument_380007","Rumor"
"argument_380008","Hit the Mark"
"argument_380009","Heart to Heart"
"argument_380010","Tactful Guidance"
"argument_380011","Sugared Deceit"
"argument_380012","Tall Tale"
"argument_380013","Heartless"
"argument_380014","All Phenomena"
"# 嘴炮解锁",""
"argument_unlock_370000","Starter"
"argument_unlock_370001","Starter"
"argument_unlock_370002","Starter"
"argument_unlock_370003","Become Beginner in Basic Debate to upgrade this Nonsense to <ArguName>「Long Story Short」</>"
"argument_unlock_370004","Proficient in Basic Debate to upgrade this Nonsense to <ArguName>「Pride Turned Humble」</>"
"argument_unlock_370005","Competent in Basic Debate to upgrade this Nonsense to <ArguName>「Beat Around the Bush」</>"
"argument_unlock_370006","Carry Load over <ArguNum>3000</> to upgrade this Nonsense to <ArguName>「Weighted Words」</>"
"argument_unlock_370007","Enter a battle with over <ArguNum>3</> opponents at the same time to upgrade this Nonsense to <ArguName>「Inference」</>"
"argument_unlock_370008","Master in Basic Debate to upgrade this Nonsense to <ArguName>「Case For Yourself」</>"
"argument_unlock_370009","Own over <ArguNum>20</> Skill Manuals to upgrade this Nonsense to <ArguName>「Classic Quotes」</>"
"argument_unlock_370010","Persuade over <ArguNum>10</> characters to switch identities to upgrade this Nonsense to <ArguName>「Cross Purposes」</>"
"argument_unlock_370011","Grandmaster in Basic Debate to upgrade this Nonsense to <ArguName>「Stretching Matters」</>"
"argument_unlock_370012","Fabricate <ArguNum>3</> rumors to upgrade this Nonsense to <ArguName>「Slander」</>"
"argument_unlock_370013","Acquire the Skill Bionic：Horse to upgrade this Nonsense to <ArguName>「White Horse Ain't Horse」</>"
"argument_unlock_370014","Remove over <ArguNum>10</> random Arguments in one Debate to upgrade this Nonsense to <ArguName>「Sophistry」</>"
"argument_unlock_370015","Become Unwhole to upgrade this Nonsense to <ArguName>「Broken Context」</>"
"argument_unlock_370016","Activate Lotus in Heart to upgrade this Nonsense to <ArguName>「Pester」</>"
"argument_unlock_370017","Increase Affinity with an Intimate character to <ArguNum>1000</> to upgrade this Nonsense to <ArguName>「Honeyed Tongue」</>"
"argument_unlock_370018","Acquire the Skill Halberd Breaking to upgrade this Nonsense to <ArguName>「Clashing Words」</>"
"argument_unlock_370019","Have <ArguNum>7</> offspring to upgrade this Nonsense to <ArguName>「Jabberwocky」</>"
"argument_unlock_370020","Trigger over <ArguNum>5</> effects in a row in a Debate round to upgrade this Nonsense to <ArguName>「Witty Barrage」</>"
"argument_unlock_370021","Counterattack <ArguNum>5</> times in one regular battle to upgrade this Nonsense to <ArguName>「Spot On」</>"
"argument_unlock_370022","Perfected in Basic Debate to upgrade this Nonsense to <ArguName>「Words of Wisdom」</>"
"argument_unlock_370023","Acquire the Skill Flower Rain to upgrade this Nonsense to <ArguName>「Flowery Flattery」</>"
"argument_unlock_370024","Cook <ArguNum>1</> Unfulfilled Destiny to upgrade this Nonsense to <ArguName>「Flowing Oratory」</>"
"argument_unlock_370025","Increase Weapon ATK to <ArguNum>100</> to upgrade this Nonsense to <ArguName>「Cut to the Chase」</>"
"argument_unlock_370026","Unlocks after acquiring Inner Kungfu： Kṣitigarbha Sutra"
"argument_unlock_380000","Obtain <ArguNum>1</> Legendary Mace"
"argument_unlock_380001","Activate Inner Kungfu with <ArguNum>4</> types of Chi at the same time"
"argument_unlock_380002","Make <ArguNum>3</> Meridian Shift Pills"
"argument_unlock_380003","Team up with over <ArguNum>5</> characters and be the strongest"
"argument_unlock_380004","Let over <ArguNum>10</> characters rest in peace"
"argument_unlock_380005","Get an inner injury from mid-air meditation"
"argument_unlock_380006","Use the Skill Slap on <ArguNum>20</> different characters"
"argument_unlock_380007","Become Little Enmity with over <ArguNum>10</> people"
"argument_unlock_380008","Spirits dropped to <ArguNum>0</>"
"argument_unlock_380009","Become intimate with over <ArguNum>7</> people"
